Problem Size,p=1,p=2,p=3,p=4,p=8,p=16,p=28
1,3.82231e-05,0.0001348441,0.000134378,0.0001815991,0.000345459,0.0047598518,0.0052464441
2,1.5883e-05,2.03641e-05,1.9874e-05,2.07091e-05,2.26409e-05,0.0040101279,0.0018165822
4,1.97161e-05,3.0179e-05,2.51981e-05,2.63711e-05,3.09809e-05,0.0007722564,7.08131e-05
8,0.000129465,8.24761e-05,9.0322e-05,7.74851e-05,3.8774e-05,5.59762e-05,7.2293e-05
16,0.0017588241,0.0009823642,0.0007445458,0.0005474719,0.0002921862,0.0001427792,0.0001892971
32,0.0292641281,0.016030723,0.0109516091,0.008143577,0.0040997621,0.0021954309,0.002767429
64,0.4748207899,0.2558914209,0.17559727,0.1284585772,0.0643950279,0.0322561357,0.0339454808
128,7.6265978911,4.1256923808,2.7636104012,2.0687899762,1.038938497,0.5145812314,0.5636549881
256,127.831932897,66.2906138839,44.258754045,33.0422515292,16.532707429,8.2395454422,8.453518484
