Problem Size,p=1,p=4,p=8,p=64
64,3.26090000e-06,3.97000000e-06,3.52080000e-06,8.14980000e-06
128,4.05310000e-06,4.63220000e-06,4.02170000e-06,6.00860000e-06
256,5.37350000e-06,5.87670000e-06,5.53580000e-06,8.88270000e-06
512,8.51880000e-06,9.15180000e-06,9.21570000e-06,1.20776000e-05
1024,1.58647000e-05,1.59768000e-05,1.75133000e-05,2.20052000e-05
2048,3.16861000e-05,3.51176000e-05,3.41242000e-05,4.51508000e-05
4096,6.37650000e-05,7.12353000e-05,7.17078000e-05,9.86501000e-05
8192,1.45694600e-04,1.65875700e-04,1.65638500e-04,2.15196500e-04

