Problem size,p=1,p=2,p=3,p=4,p=8,p=28
1,0.0000223,0.0000236,0.0000262,0.0000248,0.0000409,0.0000334
2,0.0000283,0.000028,0.0000317,0.0000294,0.0000447,0.000048
4,0.0000276,0.0000283,0.0000396,0.0000304,0.0000474,0.000043
8,0.0000331,0.000029,0.0000322,0.0000332,0.0000498,0.0000472
16,0.0000314,0.0000323,0.0000441,0.0000328,0.0000451,0.0000515
32,0.0000347,0.0000562,0.0000369,0.0000497,0.0000704,0.0000555
64,0.0000302,0.0000307,0.0000559,0.0000326,0.0000489,0.0000525
128,0.0000339,0.000037,0.0000406,0.0000422,0.0000522,0.0000576
256,0.0000339,0.0000425,0.0000769,0.0000502,0.0000583,0.0000639
512,0.0000541,0.0000462,0.0000699,0.0000575,0.0000673,0.0000707
1024,0.0000591,0.0000521,0.0001145,0.0000836,0.0000784,0.0001218
