Problem Size,p=1
1,0.0000009
2,0.0000056
4,0.0000089
8,0.0000108
16,0.0000111
32,0.0000139
64,0.0002638
128,0.0008266
256,0.0031386
512,0.0127169
1024,0.0494824
2048,0.1842949
